p,E[N],E[T]

0.01,0.060181208053691274,4.062639371970083
0.02,0.12313087248322148,4.1144491209015
0.03,0.1909026845637584,4.191352064488676
0.04,0.25409395973154364,4.228659827165507
0.05,0.3206677852348993,4.302396476382049
0.060000000000000005,0.38936241610738254,4.350167596593164
0.07,0.4605771812080537,4.409250105917243
0.08,0.5356845637583892,4.489110630150076
0.09,0.6084463087248322,4.544664498539576
0.09999999999999999,0.6811879194630872,4.605601672206122
0.10999999999999999,0.7550234899328859,4.66297442460416
0.11999999999999998,0.8359932885906041,4.7339963288269
0.12999999999999998,0.9074731543624162,4.802731008632953
0.13999999999999999,0.9856006711409396,4.868990991368554
0.15,1.065043624161074,4.922435214767483
0.16,1.1496275167785235,5.008836861106279
0.17,1.2347953020134228,5.097356986183571
0.18000000000000002,1.3244664429530202,5.194184590712789
0.19000000000000003,1.3944429530201343,5.249394535261331
0.20000000000000004,1.4831845637583894,5.324666157561247
0.21000000000000005,1.5644194630872483,5.388039463910191
0.22000000000000006,1.6581912751677852,5.493941337365363
0.23000000000000007,1.7468590604026846,5.5813993556279184
0.24000000000000007,1.8404731543624162,5.700614873776979
0.25000000000000006,1.949234899328859,5.825390686643862
0.26000000000000006,2.0266140939597315,5.895674088033019
0.2700000000000001,2.130667785234899,6.017485550786838
0.2800000000000001,2.2524194630872483,6.190622888169086
0.2900000000000001,2.3374127516778525,6.2571550589156875
0.3000000000000001,2.461258389261745,6.420131905477342
0.3100000000000001,2.566959731543624,6.577084653248209
0.3200000000000001,2.688006711409396,6.746818214438613
0.3300000000000001,2.8283255033557047,6.947206329700437
0.34000000000000014,2.9564429530201344,7.122311673228396
0.35000000000000014,3.130231543624161,7.395367370537435
0.36000000000000015,3.301758389261745,7.662448061400027
0.37000000000000016,3.5161409395973156,8.00401212793572
0.38000000000000017,3.7164832214765102,8.35320858993446
0.3900000000000002,3.9108959731543624,8.667115182108413
0.4000000000000002,4.221385906040268,9.211686795468328
0.4100000000000002,4.546607382550335,9.807281508580397
0.4200000000000002,4.86453355704698,10.383264737412478
0.4300000000000002,5.606104026845638,11.803483650033318
0.4400000000000002,5.997053691275168,12.511949159223077
0.45000000000000023,6.8543926174496645,14.11499097300528
0.46000000000000024,8.317137583892617,17.03499424910916
0.47000000000000025,10.215261744966442,20.72728315046897
0.48000000000000026,14.868228187919463,30.023210995160856
0.49000000000000027,28.32035234899329,56.96773788767369
0.5000000000000002,273.1333523489933,544.8727550296416
