p,E[N],E[T]

0.01,0.05991946308724832,4.063123663277492
0.02,0.12260402684563758,4.121177474431678
0.03,0.1869563758389262,4.179606429076307
0.04,0.2501778523489933,4.245234277110608
0.05,0.3193557046979866,4.315959930446349
0.060000000000000005,0.3874463087248322,4.380330243842837
0.07,0.45650335570469797,4.460801369187643
0.08,0.5263791946308725,4.527405386588233
0.09,0.5936677852348994,4.589117174039966
0.09999999999999999,0.6691778523489933,4.672088329788679
0.10999999999999999,0.7379060402684564,4.735714742623205
0.11999999999999998,0.8141208053691276,4.817809067139702
0.12999999999999998,0.8850771812080537,4.8983767707658075
0.13999999999999999,0.9592986577181208,4.9848613169595595
0.15,1.0310503355704699,5.049186125421753
0.16,1.1096375838926174,5.13468747157645
0.17,1.1824395973154362,5.209003845302482
0.18000000000000002,1.264,5.318433432617401
0.19000000000000003,1.3334362416107381,5.388668456062551
0.20000000000000004,1.421023489932886,5.511956419495078
0.21000000000000005,1.4986610738255033,5.595563086840462
0.22000000000000006,1.5713758389261745,5.687543881038767
0.23000000000000007,1.66348322147651,5.8215693108366136
0.24000000000000007,1.7202214765100672,5.874659818728506
0.25000000000000006,1.8076241610738255,6.000887668223015
0.26000000000000006,1.8976543624161073,6.138294303160437
0.2700000000000001,1.9736241610738254,6.245752070319329
0.2800000000000001,2.0479697986577183,6.346391966280489
0.2900000000000001,2.1278355704697987,6.4702644022114235
0.3000000000000001,2.2102718120805367,6.589386112617369
0.3100000000000001,2.2849194630872485,6.685850665341691
0.3200000000000001,2.381979865771812,6.8579635606250395
0.3300000000000001,2.497741610738255,7.078560411311054
0.34000000000000014,2.572023489932886,7.1983413854369775
0.35000000000000014,2.6611744966442954,7.3319447353518425
0.36000000000000015,2.779570469798658,7.56158438188856
0.37000000000000016,2.886218120805369,7.75451152214601
0.38000000000000017,2.9860838926174496,7.927766846555577
0.3900000000000002,3.1060671140939595,8.16863974130389
0.4000000000000002,3.2602919463087248,8.450932016770945
0.4100000000000002,3.424030201342282,8.793462255251594
0.4200000000000002,3.58741610738255,9.122849460790919
0.4300000000000002,3.7456140939597313,9.438316366088483
0.4400000000000002,4.076966442953021,10.095265970676195
0.45000000000000023,4.3401174496644295,10.6375829424727
0.46000000000000024,4.664204697986577,11.2804171820533
0.47000000000000025,5.48513422818792,12.92322871670625
0.48000000000000026,6.524194630872484,15.004639212047676
0.49000000000000027,7.913852348993289,17.780308903137648
0.5000000000000002,40.926040268456376,67.63579365239025
